Region,Date,Estimated Unemployment Rate (%),Estimated Labour Participation Rate (%),Area,Estimated Employed Rate (%),Year,Month_num,Month
Karnataka,2020-03-31,2.39,40.85,Rural,38.46,2020.0,3.0,March
Karnataka,2020-04-30,33.17,43.25,Rural,10.079999999999998,2020.0,4.0,April
Karnataka,2020-05-31,23.72,43.09,Rural,19.370000000000005,2020.0,5.0,May
Karnataka,2020-06-30,10.92,53.37,Rural,42.449999999999996,2020.0,6.0,June
Kerala,2019-05-31,6.63,38.07,Rural,31.44,2019.0,5.0,May
Kerala,2019-06-30,9.0,42.19,Rural,33.19,2019.0,6.0,June
Kerala,2019-07-31,4.95,34.96,Rural,30.01,2019.0,7.0,July
Kerala,2019-08-31,10.32,39.9,Rural,29.58,2019.0,8.0,August
Kerala,2019-09-30,5.35,38.97,Rural,33.62,2019.0,9.0,September
Kerala,2019-10-31,9.14,40.02,Rural,30.880000000000003,2019.0,10.0,October
Kerala,2019-11-30,5.0,32.71,Rural,27.71,2019.0,11.0,November
Kerala,2019-12-31,10.77,38.67,Rural,27.900000000000002,2019.0,12.0,December
Kerala,2020-01-31,4.11,37.66,Rural,33.55,2020.0,1.0,January
Kerala,2020-02-29,8.91,38.84,Rural,29.930000000000003,2020.0,2.0,February
Kerala,2020-03-31,8.85,30.87,Rural,22.020000000000003,2020.0,3.0,March
Kerala,2020-04-30,10.71,13.33,Rural,2.619999999999999,2020.0,4.0,April
Kerala,2020-05-31,23.38,33.62,Rural,10.239999999999998,2020.0,5.0,May
Kerala,2020-06-30,27.66,37.01,Rural,9.349999999999998,2020.0,6.0,June
Madhya Pradesh,2019-05-31,3.63,37.97,Rural,34.339999999999996,2019.0,5.0,May
Madhya Pradesh,2019-06-30,4.25,40.48,Rural,36.23,2019.0,6.0,June
Madhya Pradesh,2019-07-31,3.92,40.2,Rural,36.28,2019.0,7.0,July
Madhya Pradesh,2019-08-31,4.94,41.25,Rural,36.31,2019.0,8.0,August
Madhya Pradesh,2019-09-30,3.08,39.4,Rural,36.32,2019.0,9.0,September
Madhya Pradesh,2019-10-31,2.98,41.46,Rural,38.480000000000004,2019.0,10.0,October
Madhya Pradesh,2019-11-30,2.72,39.44,Rural,36.72,2019.0,11.0,November
Madhya Pradesh,2019-12-31,2.94,40.77,Rural,37.830000000000005,2019.0,12.0,December
Madhya Pradesh,2020-01-31,3.66,39.35,Rural,35.69,2020.0,1.0,January
Madhya Pradesh,2020-02-29,4.42,39.57,Rural,35.15,2020.0,2.0,February
Madhya Pradesh,2020-03-31,1.19,38.9,Rural,37.71,2020.0,3.0,March
Madhya Pradesh,2020-04-30,12.5,37.88,Rural,25.380000000000003,2020.0,4.0,April
Madhya Pradesh,2020-05-31,22.46,39.24,Rural,16.78,2020.0,5.0,May
Madhya Pradesh,2020-06-30,6.46,41.5,Rural,35.04,2020.0,6.0,June
Maharashtra,2019-05-31,3.67,47.11,Rural,43.44,2019.0,5.0,May
Maharashtra,2019-06-30,4.34,45.69,Rural,41.349999999999994,2019.0,6.0,June
Maharashtra,2019-07-31,3.66,48.8,Rural,45.14,2019.0,7.0,July
Maharashtra,2019-08-31,3.76,52.67,Rural,48.910000000000004,2019.0,8.0,August
Maharashtra,2019-09-30,4.4,49.74,Rural,45.34,2019.0,9.0,September
Maharashtra,2019-10-31,3.81,47.61,Rural,43.8,2019.0,10.0,October
Maharashtra,2019-11-30,3.68,48.53,Rural,44.85,2019.0,11.0,November
Maharashtra,2019-12-31,3.03,50.98,Rural,47.949999999999996,2019.0,12.0,December
Maharashtra,2020-01-31,3.8,50.36,Rural,46.56,2020.0,1.0,January
Maharashtra,2020-02-29,4.24,49.36,Rural,45.12,2020.0,2.0,February
Maharashtra,2020-03-31,5.38,45.6,Rural,40.22,2020.0,3.0,March
Maharashtra,2020-04-30,25.28,37.42,Rural,12.14,2020.0,4.0,April
Maharashtra,2020-05-31,16.89,41.21,Rural,24.32,2020.0,5.0,May
Maharashtra,2020-06-30,9.4,48.34,Rural,38.940000000000005,2020.0,6.0,June
Meghalaya,2019-05-31,3.16,66.13,Rural,62.97,2019.0,5.0,May
Meghalaya,2019-06-30,4.23,61.09,Rural,56.86,2019.0,6.0,June
Meghalaya,2019-07-31,1.03,66.67,Rural,65.64,2019.0,7.0,July
Meghalaya,2019-08-31,0.52,60.86,Rural,60.339999999999996,2019.0,8.0,August
Meghalaya,2019-09-30,0.24,66.02,Rural,65.78,2019.0,9.0,September
Meghalaya,2019-10-31,3.7,63.44,Rural,59.739999999999995,2019.0,10.0,October
Meghalaya,2019-11-30,1.5,69.03,Rural,67.53,2019.0,11.0,November
Meghalaya,2019-12-31,1.8,63.18,Rural,61.38,2019.0,12.0,December
Meghalaya,2020-01-31,0.97,69.66,Rural,68.69,2020.0,1.0,January
Meghalaya,2020-02-29,2.76,64.06,Rural,61.300000000000004,2020.0,2.0,February
Meghalaya,2020-03-31,1.28,67.46,Rural,66.17999999999999,2020.0,3.0,March
Meghalaya,2020-04-30,8.38,48.83,Rural,40.449999999999996,2020.0,4.0,April
Meghalaya,2020-05-31,3.73,57.26,Rural,53.53,2020.0,5.0,May
Meghalaya,2020-06-30,1.35,64.63,Rural,63.279999999999994,2020.0,6.0,June
